id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LAWWRJ001,李敖五五日记,li_ao_wuwu_riji,刘玉章严治开小差,LAWWRJ_002_107,002.1990年5月.txt,213-213,54,计程车司机为五十二军老兵，说刘玉章言出必行，治军极严，做了七年的勤务兵开小差被抓回，纵刘母讲情，都要被枪毙。
LAWWRJ002,李敖五五日记,li_ao_wuwu_riji,小孩误吃木瓜实,LAWWRJ_003_149,003.1990年6月.txt,297-297,51,张牙医太太说，四十年前来台，小孩不识木瓜，只吃木瓜实而未食其果，大倒胃口并闹笑话，四十年来未再食木瓜。
LAWWRJ003,李敖五五日记,li_ao_wuwu_riji,张学良看戏忽离席,LAWWRJ_011_133,011.1991年2月.txt,265-265,40,张学良请何东看戏，中途离席未回，何东不悦，后得知是晚发生九一八事变，情非得已也。
LAWWRJ004,李敖五五日记,li_ao_wuwu_riji,何世礼院中防录音,LAWWRJ_011_134,011.1991年2月.txt,267-267,123,毛邦初案发生，外人以人人贪污视中国政府，蒋找何去，说政府在外国人眼中简直不成个政府了，你无论如何要帮我两三年。何乃趁蒋氏父子有求于他，表达欲与老长官（张学良）一见之意，经张群安排，乃得一见，旁有人记录。本来要他在屋中见，何要求在院子中，防录音也。
