file	paragraph	line_start	line_end	char_count	score	snippet
003.戴季陶二三事（黄贻谋）.txt	25	49	49	93	3	戴季陶有一纸折扇，一面录一对联：“气象勿傲勿暴勿怠；颜色宜和宜静宜庄。”（此联我在渝南开中学曾见过）另一面绘一罗汉像，并附录一联：“大肚能容，容天下难容之事；开颜常笑，笑世间可笑之人。”
003.戴季陶二三事（黄贻谋）.txt	27	53	53	359	4	一九四八年三月，国民政府召开行宪国民大会，蒋介石出任总统，改组政府。其后，戴季陶将考试院长一职让位与张伯苓，自称“无官一身轻”。淮海战役结束后，据其随从告诉我：“院长精神有些失常，终日愁眉不展。曾对我们说：‘共产党不会放过我，我也不会失节的。为民族尽大孝，为国家尽大忠，此其时矣。你们应好自为之，二臣不能当。有史以来，历代皇帝对前朝臣民，大都采取怀柔政策，但共...
004.孙中山先生在天津张园（张挺）.txt	5	9	9	685	9	我当时年仅十三岁，由于父亲常以恐怖的口吻称孙中山先生是“革命头子”，因此在我的心目中，这个“革命头子”一定有一副青面獠牙狰狞可怕的面孔，反倒总想看个究竟。孙先生到津那天，我和哥哥刚放学就背着父亲跑到张园大门口去看迎接孙先生的盛况。当我看到“革命头子”跟普通人一样，身材不高，是一位文质彬彬的老头，微笑着同上百位迎接他的各界人士见面时，大为迷惘不解。以后我和十一...
004.孙中山先生在天津张园（张挺）.txt	6	11	11	216	3	由于我父亲始终不肯放弃“一臣不事二君”的传统观念，他做为居停主人，竟没有和孙先生见过一次面。可是当孙中山先生离津五十四天之后，末代皇帝溥仪逃到天津来张园居住时，我父亲就大不一样了。他亲自率人到英租界英商惠罗洋行，花了将近三千元银元购买高级家具、地毯等，将大楼内旧家具全部撤掉，布置一新；他还不辞劳苦地亲率家丁每日打扫庭院。对这样忠实的保皇派，溥仪感念不已，私谥...
005.白崇禧在武汉与蒋介石的人事纠纷（鲍志鸿）.txt	10	19	19	252	3	陈明仁召集了我、余克剑、吴迪吉、吴相和等，要我们注意桂系的第三兵团司令官张淦和第七军军长李本一的行动，以防他们的明害暗算。我们以“共同作战、互相联系”为名，到徐祖贻、张淦、李本一家中拜访，察看他们的动静。万耀煌（曾接替王东原任湖北省主席，时已被张笃伦取代）、彭善（曾在阮齐以前任过武汉警备司令）、何成浚向我了解了桂系的情况，怕白崇禧对他们下毒手，都慌慌张张地离...
005.白崇禧在武汉与蒋介石的人事纠纷（鲍志鸿）.txt	14	27	27	411	6	有一天，负责城防工事，平时不到警司办公的武汉警备副司令孙国铨，忽然到警司同我谈形势。我同他谈到国民党对和谈的态度真假及其目的，我说如搞和谈是为了利用时间整军再战，则因全国都希望和平，时间拖久了必然影响和瓦解士气；又说蒋介石有江浙财阀的支持和美国的援助，江浙财阀并不垂青桂系，而美国不断地派代表与李宗仁联系，则是要桂系反共，以免其与共产党妥协合作，美国与蒋、桂的...
005.白崇禧在武汉与蒋介石的人事纠纷（鲍志鸿）.txt	15	29	29	267	5	一月上旬，陈明仁升任第一兵团司令官后，找我和温汰沫商谈，要辞去武汉警备司令的兼职，而专心去整训第一兵团。我问陈是向蒋介石、还是白崇禧辞职，若向蒋辞恐难获准，陈说向白辞。陈明仁向白崇禧辞了职后，我挂长途电话告知了毛人凤。第二天一早，陈明仁到警司对我说：“昨晚，林蔚文（国防部次长、蒋介石的亲信）打长途电话责备我为什么不先通知一声，好让他们考虑继任人选，我无言可答...
006.余井塘竞选国大代表的丑剧（徐恩庆）.txt	4	7	7	331	4	一天，马把我找到他的办公室（马是南京市副市长兼教育局长），很客气地对我说：“这次余井塘部长想在市教育会选举产生国大代表。你是余部长的同乡，又是教育会理事，现在是你出力的时候了，干得好，我们不会亏待你的。”随即要我去国民党南京市党部领一卷关于余井塘竞选“国大”代表的宣传材料。我把材料拿回来后，马写了一张便条，要我到会计那里领一笔为数不小的活动经费。同时告诉我：...
006.余井塘竞选国大代表的丑剧（徐恩庆）.txt	6	11	11	483	3	车子开到了张绍揆的公馆，我们在他家会面了。张绍揆个子高高的，面色清瘦，西装笔挺，皮鞋乌亮，鼻梁上架一副近视眼镜，神气活现。他是国民党还都的接收大员，市参议员，乃一地地道道的小政客。他居住在一幢西式平房里，室内陈设一套红木家具，还摆有一些古董玩品，比较考究。张满面春风地握着我的手说：“梦云兄，是什么风把你刮来的呀？”我开玩笑地说：“无事不登三宝殿，有事才来请老...
006.余井塘竞选国大代表的丑剧（徐恩庆）.txt	7	13	13	198	3	回到副市长办公室，我便如实地向马做了汇报。马冷笑了一下，用拳头捶着办公桌，气呼呼地对我说：“张绍揆是个什么东西，看嘛！以后再说吧！”说完，马就叫秘书把表填好，我在表里审查一栏内盖了章。随后，我又坐副市长的汽车去找荷花塘小学校长沈实秋和青年会中学校长周瑞章，请他们在审查栏内盖了章，再把表送到张绍揆那里。忙碌了一整天，总算顺利地解决了余井塘参加南京市教育会的问题...
