file	paragraph	score	markers	text
021.张学良为杨拯民题词.txt	6	14	一天|说|自由|张学良	失去的音讯从少帅这一纸题词又续了起来。如今已近古稀的杨拯民先生用“欣慰”和“惋惜”二词，表达他对张学良将军在耄耋之年获得自由的感慨。他说，我思念同父亲有过患难情谊的世叔，更等待与海峡那边的世叔重逢一天。
008.跋孙铭九给张学良和李敖的照片.txt	2	13	一天|问|说|张学良|孙铭九	1982年秋冬之际，我写了《别赖张学良了!》等几篇文章，替张学良讲话，对这位当年西安事变的民族英雄，深致怀念。文章发表后，在日本的陈平景有一天打长途电话来，说他在大陆碰到孙铭九，孙铭九听说我为他的老长官抱不平，很受感动。我听了，就告诉陈平景，下次有机会再碰到孙先生，请替我问候他，请他写点回忆，并告诉他：我可能有“管道”，转达孙先生向他老长官的致意。
014.张学良心事探微.txt	30	13	说|抓|捉|张学良|蒋介石|周恩来|孙铭九	自从那时候，他就一直遵守诺言不变。当蒋介石要在圣诞节那天离开时，张学良的许多僚属都劝他们的主帅不要陪蒋介石到南京去。他们的劝阻都失败了。张学良的态度很坚定。据说他对率兵到临潼去抓蒋介石的警卫营营长孙铭九说：“人家是蒋委员长，我不送他回去，叫人家怎么领导抗日？”少帅做这一决定其信念与态度，同两个星期前他决心捉蒋时的信念与态度一样坚强。众所周知，周恩来事先并不知道张学良这一决定。当时他一得消息，立即赶到，飞机已刚刚起飞了。然而即使他及时赶到机场，也是非常不太可能劝得了张学良不陪蒋介石去南京。如果张学良是因一时冲动而做这一决定，飞机在洛阳降落加油时，他仍然有机会改变主意。他早已下的决心似乎是无法动摇的。他这一决定，与他捉蒋时他对部属所说的话也是一致的。他对部属所说的是：“我们所争的是主张，只要主张能行通，目的能达到，其他均非所计。”很显然，一旦蒋介石接受了他的看法，他是愿意为蒋介石做任何事情的。
008.跋孙铭九给张学良和李敖的照片.txt	31	12	一天|杀|张学良|孙铭九	在张部决定撤退之后，西安方面发生了一件事，就是在2月2日的那一天，原任张学良的卫队营长现任特务团团长之孙铭九，和少数的激烈分子，反对撤兵的命令，要求杨虎城、于学忠、何柱国、王以哲等收回撤退的命令。嗣因要求不遂，发生暴动，将王以哲戕杀，同时还有几个高级官被害。不过暴动的人数不多，事变后，经杨于等设法镇压，第二天便解决了。
010.王家桢回忆张学良两篇文章书后.txt	9	12	最后|说|死|骗|张学良|蒋介石	对张学良、王家桢他们个人的荣华富贵而言、对跟蒋介石与虎谋皮绝无好下场这一判断而言，日本人的劝告并没说错，但是，为了中国统一，爱国者张学良却“心之所善，九死无悔”的不做“开国元勋”而做“地方官”，虽然最后落魄终老，被囚被骗得连“地方官”都不可得，但是，夙愿得偿，中国毕竟统一起来了——大丈夫乐夫天命，复奚疑哉？
011.《张学良研究》前言.txt	2	12	说|杀|死|自由|张学良|蒋介石	张学良生在1898年，今年1988年，九十岁了。九十年间，他从三十八岁起就失掉自由，被关五十二年至今，论使爱国者失掉自由之久，蒋介石及其党羽可谓心狠手辣、空前绝后。德国爱国者赫斯（Rudolf Hess）被判无期徒刑，也不过失掉自由四十六年，但赫斯九十三岁时自杀于狱，被判十年早已过期却仍在关个不停的张学良年登九十，正皈依上帝以求永生，如今在失掉自由五十二年之后，发表公开信说他“怡然自得，深足自慰”“日常生活行动，一向自由”云云，事实上，他“日常生活行动”的“一向自由”，只是他和他夫人老两口的游山玩水逛街吃小馆而已，他和人的交往绝对没有自由，据我所知，只有张群、张大千、王新衡、何世礼四人，可以和他交往，如今张群已老，张大千、王新衡已死，他唯一的交往者，只是他以前的随从参谋何世礼将军而已。何世礼将军住我楼下，人又多在香港，前一阵张学良一周内一连两次到何家，其索寞可想！
014.张学良心事探微.txt	17	12	问|说|捉|自由|张学良|蒋介石	虽然张学良从来没有机会依照自己的意愿自由地表白自己，然而如果细心察看，他的那些公开宣布的言行，很清楚地揭示了为什么他要在1936年12月12日，采取激动人心的行动“捉蒋”。毫无疑问地，少帅是全心把自己献身于抗日的爱国大业上。为了这个原因，他完全不顾一切地一方面想要阻止内战，一方面想要改变蒋介石的对日姑息妥协政策。固然共产党人用反日爱国情操，把蒋介石的枪口从他们身上转向到外国敌人身上，但他们的确是努力把东北军争取到抗日战线上。有些共产党工作人员甚至已经设法进入张学良的军队里，签订一项秘密停战协定。不过，共产党影响之重要性，充其量也是辅助性的。少帅和他那些来自东北的子弟兵，用不着别人告诉他们，都知道日本的侵略是多么不能忍受。他们在1931年被迫离开家乡。从那时候起，他们一直想家，并因此感到灰心，感到愤慨。他们对蒋介石一再宣布的“攘外必先安内，统一方能御侮”政策，当然感到忿恨不满。他们热切地要去打侵占了他们家乡的日军，而没有心情继续与国内的敌人流血作战。共产党人只是赢取抗日的情操，并且用友好的劝服方式强调这一情操而已。共产党的文字工作人员宣称是他们的共产党，把张学良和他的东北军带到抗日战线上，是太过于居功了。国民党宣称共产党人是用爱国情操，引诱张学良和杨虎城二将军进入陷阱，也同样是夸张的说法。
014.张学良心事探微.txt	35	12	问|说|逃|逼|张学良|蒋介石	再者，少帅张学良也立即遭到秘密军事法庭的军法审判。没有几天，在12月31日，他被以叛国罪判处十年徒刑。虽然蒋介石以张学良已表示衷心忏悔为理由，而要求特赦他的刑罚，他实际上却是在军事委员会无限期的监禁中。回顾起来，正如作家李敖所说：“蒋介石的宽大是很可怕的。”蒋介石显然是想要向全国和全世界表明他所监禁的人，只是个误入歧途的恶棍，理应终身忏悔；也表明他个人的人格感召力和威严，曾经促使叛逆的将领们幡然悔悟，并“无条件地”释放了他。在逃到台湾以后，过了好几年，蒋介石在他的《苏俄在中国》一书里，还是坚持说张学良“不敢把他们已经拟好的要求提出来”，说张学良“哀求我息怒并听他把话说完”，说“我打断他的话并禁止他谈及任何政治问题”。此外，有一个流传很广的说法频频出现在蒋介石的声明中，张学良在监禁中所写的《西安事变忏悔录》中也提到过。这个说法是说张杨二人私下在蒋介石的日记中看到他的抗日计划后，就被感动得决定释放他。如果真有这样一个抗日计划，为什么蒋介石的公开言行与他这一秘密心意竟然那样矛盾？为什么当张学良一再要求他抵抗日本侵略时，他不把他的抗日计划告诉他的副总司令张学良？因为扣留蒋介石的主要目的是逼他抗日，那么，既然蒋介石已经把保证抗日的誓言写在日记中，张学良和杨虎城为什么还要要求蒋介石作保证呢？西安事变之后蒋介石所说的一切言论，除了修补他的面子，没有别的目的。
014.张学良心事探微.txt	39	12	问|说|捉|张学良|蒋介石|周恩来	如上所述，在西安事变以前，蒋介石是顽固地执行他优先消灭国内政敌，然后才抵抗日本侵略的政策。全国反对他政策的抗议浪潮日益高涨，他置之不理，还径自到西安，亲自向张学良及其部属施加压力，要他们达成消灭“共匪”的任务。这次他态度非常强硬，所以在各种演讲和谈话场合，他甚至于痛斥任何反对他政策的人是叛徒。毫无疑问地，他是决心要使他的政策彻底执行。然而12月12日他所遭遇到的被捉被扣这一强烈经验，把他狂热推行的政策冷却下来了。正如张学良所说,在他狂热推行他的政策时，他不听任何不同的意见，而且还要用政府的军队镇压抱有不同意见的人。而现在可以这样说，他现在是被迫导致对他被捉被扣的政策慎重地加以检讨一下。据报导，在西安见到周恩来时，蒋介石所说的第一句话是“内战不能再打了”。蒋介石被释放了以后，虽然公开否认他被扣押期间曾经做过任何承诺，但他知道已经口头上做下他无法完全不顾的承诺；而且，他被释放以后所享得的全国性名望，使他深深明白全国同胞都指望他做个团结和谐中国的领袖。如果他想要恢复他那不得民心的陈腐政策而继续打内战，他当然要三思才行。所以，在他声称他并没有改变他对共产党的态度时，他已经悄悄在1937年1月6日撤销了西安的剿匪总司令部。因此，就致使蒋介石改变政策一事来说，使他从镇压国内反叛人士和不满分子，改变到联合全国同胞抵抗外国的威胁，西安事变确实造成了大大的差别。
014.张学良心事探微.txt	41	12	最后|问|说|自由|张学良|蒋介石	由于张学良促成了统一战线，因此，以国民党籍史学家占大多数的人们常常说，张学良救了绝境中的共产党，最后使他们成了难以对付的力量。按照这种想法，西安事变必然应该是使共产主义在中国获胜的主因。不过这种推论太过分，也不公平。因为认为共产党在1936年已濒于被彻底消灭的边缘，也是错误的。事实上，任何迅速成功之必然性是很令人怀疑的。西安事变之前不久，张学良的两个精锐师的部队被共产党部队完全消灭了。不仅仅是张学良，就连蒋介石也知道共产党有长期作战的能力。所以他们两人分别各自以不同的方式与共产党人建立了联系，作为选择的余地。因此，张学良所作所为，并不是拯救了共产党，而只是制止了继续内战。固然在八年抗日战争期间共产党扩大了力量，可是在1947年内战重新开始时，跟国民党的军力比起来，共产党的军力仍然是非常弱小，所以蒋介石手下的主要顾问们预言可以在四个月内消灭“朱毛匪帮”。因此在军事方面，在西安事变之后十年，蒋介石仍然有机会在短期内消灭他的“共匪”。是蒋介石和他的政府在政治方面的失败腐蚀了他的军事优势，这才造成他最后的垮台。为他的垮台而归罪张学良，是完全没有根据的（蒋介石和他的政府为了他们的垮台，也归罪过美国的马歇尔将军、中国的自由主义分子、激进派学生……等人）。
014.张学良心事探微.txt	46	12	最后|说|自由|张学良|蒋介石|孙铭九	领导“二二事件”的孙铭九、应德田和苗剑秋，并不是想要与蒋介石开火打仗的顽童。由于他们和他们的“抗日同志会”一同主张把枪口转向日本侵略者，他们也不会挑起内战。他们只是坚持把释放张学良回来，作为任何谈判协议的先决条件，这不仅是为了满足他们个人的忠心，也是为了统一战线和东北军前途。他们不相信这一态度会引起战争，也把蒋介石的军事威胁看做是恫吓而不加考虑。应德田说：“在这种情况下，蒋介石不敢发动另一次内战。”在应德田和他的朋友看来，东北军团结一致的强硬态度，乃是使少帅恢复自由的最后机会。在某种意义上来说，他们是采取现实主义态度的人，不是激进派分子。对付蒋介石，他们只相信现实政治。王以哲和何柱国，像少帅自己一样，是理想主义者，不是保守派分子，他们相信用好意和牺牲可以获得蒋介石的信任。当时，理想主义者力量大、占优势，现实主义者却看得对。把东北军从西安撤走以后，六个东北军将领飞到奉化县去探望被监禁的少帅，每人被准许与他谈二十分钟。最后都挥泪而别。蒋介石并没有因东北军的良好行为而放张学良。
014.张学良心事探微.txt	47	12	说|自由|张学良|蒋介石|周恩来|孙铭九	令现实主义者们惊奇的是，“二二事件”之生效，相当大的程度是由于共产党人之漠不关心。西安事变期间，共产党的红军和杨虎城的西北军（十七路军）支持东北军，并与东北军结成三位一体的团结整体。三者中，以东北军力量最强。主要的决定是东北军做，不过为了团结一致的行动，这些决定都少不了红军和西北军的同意。在“二二事件”以前，共产党人为了他们自己的原因，已经在表示比较赞成王以哲和何柱国的主张。可是他们又以外交的口气说，为了团结，他们会附和任何一种决定。很显然，他们将统一战线的优先重要性放在少帅的自由之上。这样，他们不会冒重燃任何形式内战的危险。例如，周恩来对苗剑秋说，坚持释放少帅为先决条件会引起战争，这种战争会把中国造成另一个西班牙。实际上，为了巩固与昔日的敌人所结成的统一战线，共产党人背着三位一体中另外两个伙伴，在秘密地与蒋介石打交道。苗剑秋因此就曾经以文件证明为凭，愤怒地责备周恩来。不过，不难理解，当与国民党的和解已经在望之际，共产党对三位一体的团结已经不再有兴趣了。如果在事件发生以前共产党人就得到了消息，他们会尽力阻止的。怪不得潜伏在“抗日同志会”中的许多共产党人，并不支持“二二事件”的行动。事件之后，共产党人帮助事件领袖人物孙铭九、应德田和苗剑秋离开西安，到彭德怀将军的总部去避风，其目的也是为了解除紧张的爆炸性。讽刺的是，就这一事件来说，共产党人以乎成了反动分子，而不是革命分子。要是发现共产党和国民党是在联合起来拆少帅的台，张学良的忠诚部属很可能会大为震惊。至于第三个伙伴杨虎城，他曾经经由不同的关系受到共产党人的影响。他同情张学良的忠诚部属，但实质上帮不上忙。陪蒋介石离开西安时，张学良对杨虎城说：“要是我回不来，你接手领导。”然而杨虎城承认，他无法领导“三位一体”。
014.张学良心事探微.txt	48	12	最后|问|说|杀|张学良|蒋介石	对少帅所遭遇到的不公平扣留，“二二事件”可以说是最后一次的武力抗议。此后，出现的只是请愿了，大多数是张学良的同乡们所做的。他们是在乞求“不能得到的”宽恕。为什么蒋介石宽恕是那么难以得到？蒋介石不会没有注意到，他扣留张学良之举，即使不是完全非法的，也是完全不道德的。一定有一些强有力的原因，使他宁愿问心有愧也要囚禁张学良。当然有报仇的成分。吴天威教授曾经指出蒋介石信奉自大和报仇，也信奉个人交往中的相互关系。”换句话说，为了他以前和以后从未经历过的几乎被杀的危险折磨，他要张学良受到惩罚的报应。但我不认为“因为少帅破坏了他消灭共产党人的计划”，蒋介石就那么不能原谅人。蒋介石和他的史学家们，的确有时候为“失去大陆”而归罪张学良。不过他们也知道这样指控是无法辩护的谎言。第一，1936年蒋介石还没有明确的消灭共产党之计划，可以让张学良加以破坏。西安的“剿匪总司令部”并没有打赢仗，更不用说消灭敌人了。第二，蒋介石根本不认为他的消灭共产党之计划，因西安事变而中断；蒋介石的消灭共产党之计划，真正被破坏的时间是1949年。那时候，张学良已经被蒋介石监禁了十二年矣。
014.张学良心事探微.txt	53	12	问|答|说|自由|张学良|周恩来	有一件轶事可以在此一提。为了处理战后中国问题而召开政治协商会议时，从事过新闻工作的东北籍政治家周鲸文趁机发动起援救张学良自由的运动，征求大家签名呼吁。令他惊讶的是，周恩来当时的答复很不合作，认为在讨论国是问题时，他们中共不能为任何人的个人利益如何而发言。周鲸文听来很不受用，反向周恩来说：“难道你们认为西安事变一幕是为了个人的利益吗？”当时周恩来却以外交辞令说“我们是很愿意帮忙，不过你知道，我们的帮忙事实上很可能会危害到张学良重获自由的机会。”在那个时际对共产党人来说，既然张学良被释放后，会成为他们在东北获得权力过程中的障碍，他们为什么要对促使张学良重获自由的运动有兴趣？
014.张学良心事探微.txt	55	12	问|说|抓|捉|张学良|蒋介石	〔后记〕1986年6月27日到7月5日，我到西安访问，我看了西安事变发生前一刻蒋介石在华清池下榻的房间，我也爬上骊山1936年12月12日蒋介石被抓处的亭子。人们告诉我那个亭子原来叫做“正气亭”，现在叫做“捉蒋亭”。蒋介石造那个亭子的用意，显然是要将屈辱转变成光荣，以配合他在1936年圣诞节那天，被放回南京后为修补面子而做的一连串努力。他做的一连串努力是：散布《离陕时对张杨训话》小册子，出版发行蒋介石的《西安半月记》日记和宋美龄的《西安事变回忆录》，声明没有在强迫情况下做过承诺，声称蒋介石的人格感动了张杨而释放他，不想下台却一再表示 要辞职下台，审判和特赦后命令张学良在“严禁中”忏悔，向全国说共产党已经投降。
016.张学良关于西安事变的谈话.txt	10	12	有一次|说	第二种办法，是我最近一个月来所实行的，在实行这种办法时，我真是用尽心机，也可说舌敝唇焦，而绝对是纯洁无私的。我曾去洛阳两次，有一次为表明心迹，是单身去的！可惜，因为蒋委员长气太盛，我的嘴太笨，总未能尽其词，在上面已经说过了。我可以说是蒋委员长的最高干部，而他对最高干部的话，不但不采纳，甚至使我不能尽词；反之，却专听从不正确的一面之词，这实在不能算对。曾扩情有两句诗，大意说华山虽然高，无奈四周被阴霾笼罩着，这种情形，正像说蒋委员长被人包围着一样。
