id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LYKTW001,冷眼看台湾,lengyan_kan_taiwan,郭国基说外省人误把纳税队伍当成购物队伍,005#P35;005#P36,005.怀念郭国基先生.txt,69-69;71-71,159,"郭国基先生认为：台湾同胞是“世界上最乖的、最善良的老百姓”，但是国民党还没有诚意，他举例说：
主席，台胞是世界上最乖的、最善良的老百姓，我常讲联合国可奖给金牌，去年的税收超收二十四亿余元，此可证明台胞之守法，排队纳税，外省兄弟不明所以，以为有什么好东西可购买，也参加排队，到最后才知道是在纳税，他说在国内没有这种情形。"
LYKTW002,冷眼看台湾,lengyan_kan_taiwan,唐德刚记胡适家女客打麻将只留“清一色”,015#P7;015#P8,015.向坐轿者还颜色.txt,13-13;15-15,87,"唐德刚在《胡适杂忆》中记有一次看胡适家的一位女太太打麻将：
那位女太太慢条斯理，运筹帷幄，指挥若定。她正在摸“清一色”，所以不管“好张子、坏张子”，只要颜色不同，就打掉再说！"
LYKTW003,冷眼看台湾,lengyan_kan_taiwan,泥罐请铜罐离远一点,018#P2,018.泥罐、铜罐与共识.txt,3-3,101,《伊索寓言》中有一则“两个罐”，说一条河里漂流着两个罐，一个是泥烧的，一个是铜打的。泥罐对铜罐说：“请离我远一点，别挨过来，因为你会把我碰碎，并且我也不想靠近你。”寓言的结论是：同等的人，才能搅在一起。
LYKTW004,冷眼看台湾,lengyan_kan_taiwan,齐国太史兄弟前仆后继,021#P26,021.迟来的朋友，不算朋友.txt,51-51,71,“在齐太史简”的故事，正好是一种类比。齐国太史在暴政下奋斗，他被杀了，他的两个弟弟却前仆后继的做倒霉的“继承人”，因为继承抗暴而一一身首异处。
LYKTW005,冷眼看台湾,lengyan_kan_taiwan,左舜生记周恩来以大哭逼三方收回文件,032#P6;032#P7,032.别变回做“第三种人”！.txt,11-11;13-13,380,"左舜生《近三十年见闻杂记》记中共与“第三种人”的关系，就有这样的描写：
中共这一份是由梁漱溟、莫德惠、李璜三位送去的。周恩来本来早已知道了这三条办法的内容，因此他事前便已编好了一幕戏，准备演给他们这三位老实人看。党梁漱溟拿着这份文件在手里向周解释到第二条的时候，周即以手阻梁大哭大闹的对他们说：“不用再往下讲了！我的心都碎了！怎么国民党压迫我们不算，你们第三方面也一同压迫我们！今天和平破裂，即先对你们破裂。十年交情，从此算完，今天你们就是我们的敌人！”（这完全像在舞台上背诵念熟了的台词。）这样一来弄得他们三位手足无措，于是由莫、李提议，把这三份文件一律收回，而且即刻由莫、李、黄、罗四位（黄炎培、罗隆基最初原不在场，因为周表演了这一幕才临时找来圆场的），分别向孙科和马歇尔处，将另外两份取到，交周过目，声明作废，于是周才收泪息怒，一幕滑稽戏也才算是闭幕了。"
LYKTW006,冷眼看台湾,lengyan_kan_taiwan,威尔·罗杰斯说祖先在岸上接“五月花号”,036#P13;036#P14;036#P15,036.船上与岸上·白人与黄人.txt,25-25;27-27;29-29,391,"1620年，九十九个清教徒，在“五月花号”（Mayflower）上，从欧洲到了美洲。这三百五十多年前的九十九个人，就是今天美国白人的老祖宗（ancestors）。 美国白人有的很神气，总是炫耀他们坐“五月花号”来的老祖宗，认为他们最老资格。但忘了在白人到美洲前，早有黄种人印第安（Indian）人在那儿了。美国历史上最有名的牛仔哲学家（the cowboy philosopher），最会表演挥 鞭子、说笑话的威尔·罗杰斯（Will Rogers），说过一句挖苦这些白人的话：
My folks didn't come over on the Mayflower, but they were there to meet the boat.（我们家的人没坐“五月花号”来，但他们却是〔在岸上〕接这条船的。）
原来威尔·罗杰斯的祖先是印第安人、是黄人，远在两万年前，就从亚洲到美洲了！"
