id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
CSBDZMM001,陈水扁的真面目,chen_shuibian_de_zhenmianmu,汉普特邓普特说字眼谁说了算,012#P7,012.陈水扁就会这样！.txt,13-13,252,"《镜里风云》（Through the Looking Class）里，汉普特·邓普特（Humpty Dumpty）对阿丽丝（Alice）小姑娘说：“当我用一个字眼时候，它的意思就只是我要它表达的意思——既不多，也不少。”（When I use a word, it means just what I choose it to mean-neither more nor less.）阿丽丝抗议说：“问题是，你不能拿字眼又当这个讲又当那个讲。”汉普特·邓普特答得倒也干脆，他说：“问题是，谁说了算而已。”"
CSBDZMM002,陈水扁的真面目,chen_shuibian_de_zhenmianmu,甘地以坚决感化妻子,024#P77,024.“台湾之子”又来骗我们了！.txt,153-153,107,在甘地抛弃律师职位、义无反顾的参与独立革命的时候，他的妻子实在也哭哭啼啼过，要他“只是孩子的父亲”而不做他妈的“好汉”。但甘地深识大体也深明大义，他的坚决，感化了妻子，最后他的妻子且死在狱中，成了最伟大的印度女性。
CSBDZMM003,陈水扁的真面目,chen_shuibian_de_zhenmianmu,易卜生说先知仍超前十年,024#P114;024#P115,024.“台湾之子”又来骗我们了！.txt,227-227;229-229,208,"先知易卜生在三十六岁时自我流放，直到晚年，才得到自己同胞和全世界的肯定。在他五十五岁时候，他留下一封信给朋友，说：
十年以后，斯铎曼的见解，社会上一般人大概也跟上了。但这十年中，斯铎曼自己也不断在进步。所以十年以后，他的见解仍旧比一般人超出十年。就我个人来说，我感到我不断在进步。以前我每个剧本里的主张，如今都渐渐变成一般人的主张。但等他们跟到那一境界的时候，我早就不在那儿了，我又更进一步了。我希望我总是朝前走了。"
