id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
BYKTW001,白眼看台湾,baiyan_kan_taiwan,《明儒学案》中王锡爵与顾宪成互说怪事,003#P7;003#P8;003#P9;003#P10;003#P11;003#P12;003#P13;003#P14,003.围剿陶百川的一个教训.txt,13-13;15-15;17-17;19-19;21-21;23-23;25-25;27-27,182,"那么，“清流”该是什么模样？请看明朝的东林吧！《明儒学案》里有一个故事说：在政治黑暗的局面里，政府总是跟“清议”过不去。有一天，宰相王锡爵对东林顾宪成抱怨：
近有怪事，知之乎？
顾宪成问是什么，王锡爵说：
内阁所是，外论必以为非；内阁所非，外论必以为是！
顾宪成说：
外间亦有怪事。
王锡爵问是什么，顾宪成也抱怨：
外论所是，内阁必以为非；外论所非，内阁必以为是！"
BYKTW002,白眼看台湾,baiyan_kan_taiwan,陶百川引陈实吊唁张让父丧,003#P25,003.围剿陶百川的一个教训.txt,49-49,130,可是东汉末年的那些清流，大都昧于此义，攻击朝政，盲进不已。两次党祸，诛戮殆尽，只有郭泰和陈实等数人，幸得保全。因为郭泰虽好批评，但史称“不为危言核论”。在中常寺（宦官）张让父丧开吊时，清流无一前往，让以为耻，独陈实往吊，让很感念。后杀党人，让以实故，多所宥全。
BYKTW003,白眼看台湾,baiyan_kan_taiwan,蔡元培说政府不理政纲就不再帮忙,005#P29;005#P30,005.放火的，不要变成放水的.txt,57-57;59-59,268,"1919年3月间，欧美留学生在清华学校开会，那时正是政府中安福俱乐部一党独大的时候，一般留学生认为这样一党独大不是办法，决定开次大会，推举几个人，组织“政治主张起草委员会”，拟出政纲，要政府改善。政纲通过以后，张伯苓站了起来，反问大家说：“假如政府不踩我们的主张，仍旧这样腐败下去，我们又怎么办呢？”大家听了，面面相觑，都说不出话来，这时北京大学校长蔡元培站了起来，他说：
我们提出去了，万一政府竟置之不理，我们怎样，我个人的意思，要是我们但为发表意见，同新闻记者的社论一样，那就不必说了；若是求有点效果，至少要有不再替政府帮忙的决心。"
BYKTW004,白眼看台湾,baiyan_kan_taiwan,邦斯尔记郝斯把格拉德斯通的话拿给威尔逊,005#P47;005#P48,005.放火的，不要变成放水的.txt,93-93;95-95,376,"1918年，美国总统威尔逊（Thomas Woodrow Wilson）就提出“理想主义”的境界，构成了国际联盟的雏形，但他最后却遭遇到现实政客的打击。这一打击，邦斯尔（S. Bonsai）在《未竟之业》（Unfinished Business）里，有动人的描述：
“我想威尔逊总统是不会灰心失望的，”郝斯上校今天说，“他不会逃走。第一仗他打败了，但是等国联盟约通过而且实行以后，他将获得全部战役的胜利，但我认为必须经过许多年，困扰世界的战争心理才能肃清。”于是我请郝斯上校看英国著名首相格拉德斯通（Gladstone）一篇伟大讲演中的一句话。他承认这句话极适合目前和会的局势与情绪。“我将拿给总统看，”他又说，“现在他听到的鼓励的话太少了。”于是他把这句话高声读了几遍：“人们不应当为理想未能实现而失望，他们应该晓得，政治上的理想是永远不能实现的。”"
BYKTW005,白眼看台湾,baiyan_kan_taiwan,刘基笔下猴群觉醒后逃离狙公,013#P39;013#P40;013#P41,013.猴子必读.txt,77-77;79-79;81-81,302,"刘基在从事革命的前夜，写过《郁离子》，宣传他对黑暗统治的抗议，其中有“术使”一条，把《庄子》中狙公与猴子的故事翻作，原文是：
楚有养狙以为生者，楚人谓之狙公。旦日，必部分众狙于庭，使老狙率以之山中，求草木之实，赋什一以自奉。或不给，则加鞭箠焉。群狙皆畏苦之，弗敢违也。一日，有小狙谓众狙曰：“山之果，公所树与？”曰：“否也，天生也。”曰：“非公不得而取与？”曰：“否也，皆得而取也。”曰：“然则吾何假于彼而为之役乎？”言未既，众狙皆寤。其夕，相与伺狙公之寝，破栅毁柙，取其积，相携而入于林中，不复归。狙公卒馁而死。
郁离子曰：“世有以术使民而无道揆者，其如狙公乎！唯其昏而未觉也。一旦有开之，其术穷矣！”"
BYKTW006,白眼看台湾,baiyan_kan_taiwan,邓维桢讲甘地让印度人不还手走向盐田封锁线,015#P31,015.上台下台的讨论.txt,61-61,287,甘地一向不主张暴力解决问题，我们很容易以为这样的人一定很温和、很懦弱；相反的，甘地却非常坚强、非常勇敢。举个例，英国政府不准印度人制盐，甘地认为这道法律不合理，他要打破，于是率领了一大群印度人到海边晒盐。英国殖民统治者起初不放在心上，随便他们，没想到甘地把事情闹大了，到处都在制私盐、卖私盐。统治者一看情形不对，要控制情势，就下令封锁盐田。命令一下，印度人民群情激昂，准备使用暴力和英军对抗。可是甘地不这么做，他叫印度男人排队走向封锁线，旁边准备女护士。长龙般的印度人一排一排走向封锁线，一排一排地被英军打倒在地，护士马上扶起治疗……打到后来，英国政府只好放弃。甘地胜利了。
BYKTW007,白眼看台湾,baiyan_kan_taiwan,小仲马用“家族起点”反讽问话者,018#P2;018#P3,018.放下石头，继续跑吧！.txt,3-3;5-5,139,"《茶花女》作者小仲马，是《三个火枪手》作者大仲马的私生子。有一天，把私生子大惊小怪的俗人，向小仲马故意问，说你爸爸是谁啊！小仲马夷然答道：
我的爸爸是一个中美洲白人黑人的混血（creole），他的爸爸是一个黑人，他的爸爸的爸爸是一只猴子；我的家族的起点，好像正是你们家族的终点。"
