id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LAYM011,李敖语妙天下,li_ao_yumiao_tianxia,张苍凭一身白肉免死,016#P5,016.2009-01-22：李敖的六个吻与书法.txt,9-9,474,"《史记》讲到张丞相列传，张丞相，张苍。张苍者，干什么呢？他说。年轻的时候犯了法，犯了死罪。坐法当斩，要砍头的。坐法当斩,要砍头的。解衣伏质,什么意思呢？质，就是头搁在（动作：手托头），头放在断头台一样，卡在那个，下面那个，那个切菜那个板子一样。那个叫质，是铁的。刀从上面这样砍下来。所以，衣服都脱掉了。这样上身脱掉了。头就趴在下面。准备砍头了，从上面砍下来。身长大，长得又高又大。肥白如瓠，像个大白瓜一样的那么漂亮。一身白肉。那个时候监斩官王陵，见而怪其美士，看到以后呢，这个家伙是个gay。这个监斩官是个，喜欢男人。一看到这个男的这么漂亮，要把他杀掉太可惜了。乃言沛公，就跟刘邦讲，把他赦，就没有杀他。结果这个美男子，就凭着一身白肉，最后还当了汉朝的丞相。不但当了丞相。最后还老了以后，嘴巴里没有牙，那时候牙医没有现在的设备。没有牙，就吃奶喝奶来活。喝谁的奶呢？喝那些有奶的，女人们的奶。生小孩子的，这个乳母的奶。他的老婆，小老婆上百。所以张苍就凭一个漂亮的脸蛋，不但可以逃掉了死罪，还可以活一百岁。还可以老婆，一百多个。还可以喝女人的奶水来活。"
LAYM012,李敖语妙天下,li_ao_yumiao_tianxia,曹操赎回蔡文姬,017#P6,017.2009-01-23：中国书法史的一脉相承.txt,11-11,492,后来曹操稳定了中原，他就想到他的老朋友蔡伯喈这么样地不幸，自己一表人才被杀掉了，自己一个女儿被抢到胡人地区去了。曹操就跟胡人谈判，说她是我老朋友的女儿，可不可以用钱把她赎回来。结果谈判成功，就把蔡文姬给赎回来了。可是那时候蔡文姬已经有了一个胡人的小孩子了。她要跟她的小孩子分别，她也痛苦不堪。在中国历史上，这是个有名的一个画面，叫做文姬归汉。蔡文姬回到了汉家中国，离开了她的小儿子，那个凄惨的故事。文姬归汉，画面太小了。可是真的画面，你也不要看。为什么？看了以后你会倒胃口。你怎么把那个蔡文姬画得那么丑，就是画得那么丑。所以，最好不要看。可是蔡文姬非常地有才气，她回到中原以后又开始改嫁，丈夫给她闯祸，她找到曹操请求帮忙。曹操在那里请客，大庭广众之间就来了蔡文姬。曹操就跟客人说，这是我们老朋友蔡伯喈的女儿，给大家介绍。然后曹操就希望蔡文姬留下一点东西。蔡文姬说你点好了，我什么都会写，哪一种书法题材都会写，所有的掌故我都知道，你点好了，点唱。就好像我李敖一样，我学问太大了，你可以考我要讲什么东西。一个名歌星，你要唱什么歌？一点，他就唱给你听。蔡文姬有这个本领，这是有名的一个故事。
LAYM013,李敖语妙天下,li_ao_yumiao_tianxia,阿里斯泰迪斯代写放逐票,018#P3,018.2009-02-02：从阿扁弊案说到波兰中国猪.txt,5-5,347,希腊有一个有名的政治家，叫做Aristides，他在希腊是很有名的老政治家。有一天一个农夫过来，手里拿著一个蚌壳，请他把名字写上去。写什么名字呢？就写他的名字Aristides亚瑞斯泰迪斯。这个农夫不认识这个人，可是要他代写这个名字。因为农夫不认识字，可是他要弹劾这个Aristides。就找到这个看起来很有学问的人，请他代他写这个名字。他不晓得他眼前的人，原来就是亚瑞斯泰迪斯。这个亚瑞斯泰迪斯就很奇怪，就替他把名字写上去以后就问他，说他有什么不好吗？你为什么要把他投票赶走呢？这个农夫说：他没有什么不好，只是我整天都听到亚瑞斯泰迪斯，我听得烦了。所以我不希望这个名字在我的耳边出现，所以我赞成把他弹劾出境。希腊历史这个故事告诉我们，有时候这个政治人物他烦人，他的名字老是出现，大家受不了了。
LAYM014,李敖语妙天下,li_ao_yumiao_tianxia,麦克阿瑟不给杜鲁门敬礼,028#P8,028.2009-02-16：粗话也登大雅之堂.txt,15-15,650,杜鲁门总统跟一个美国的骄兵悍将，五星上将叫麦克阿瑟元帅，两个人在美威克岛会晤。为什么是在威克岛呢？麦克阿瑟骄兵悍将，根本不回美国本土，他是美国在亚洲的王。所以美国总统杜鲁门移樽就教，到外面的威客岛上面跟麦克阿瑟见面。我们可以看到杜鲁门还在看麦克阿瑟这个勋章。后来麦克阿瑟太神气了。怎么神气法？告诉你个笑话，他看到美国总统杜鲁门他不敬礼的，为什么不敬礼？他没有敬礼的习惯，因为他是美国的五星上将军头，每一次都是别人先向他敬礼，然后他还礼，他没有主动给别人敬礼，他没这个习惯。所以他看到第一次世界大战这么一个小军官，杜鲁门总统当年是小军官，麦克阿瑟已经是少将了，他哪里把他看在眼里！所以看到美国总统都不买账，礼都不敬的。两个人结怨，越结越深。最后美国杜鲁门总统认为麦克阿瑟在东京，他是日本的王，权力太大，违反了美国总统的统帅权，突然之间就把麦克阿瑟免职，就是说你给我回来，找别人接替你。杜鲁门总统跟布莱德雷，也是个五星上将说：The son of a bitch isn't going to resing on me. I want him fired.这个狗娘养的，并没有自己辞职，是我要他滚蛋。你是五星上将又怎么样！你再神气，你也是Son of a bitch，你也是狗娘养的。我是总统，我究竟有权力把你给赶下来。看到没有？电视台如果说订了标准，你李敖在电视台里面讲粗话，怎么可以用Son of a bitch，我就告诉你，美国总统罗斯福刚用完了狗娘养的。现在又来了，他的继任者杜鲁门也讲狗粮养的。
LAYM015,李敖语妙天下,li_ao_yumiao_tianxia,听诊器由纸筒发明,032#P4,032.2009-02-20：中国迟早统一.txt,7-7,414,听诊器怎么来的？大家看这个法文这个字LAENNEC，拼音叫做拉埃内克。拉埃内克他是法国的一个医生，他碰到一个病人，那个时候要听你心脏怎么跳，没有这个东西，方法都是贴在你身上去听。忽然他的病人是个好胖好胖的一个女孩子，有钱人家的女孩子，那个胖的程度就像台湾高雄市市长的那种程度。你在人家胸前用耳去听，这个医生很不雅，也很不方便，也听不到，因为她的脂肪太多了，听不清楚。这个医生拉埃内克就很发愁，怎么样解决要听人的这个五脏六腑？他就走在公园里，看到这个小孩子，在用一根木桶子在互相这样讲话，他发现这个也许可以，他回去用纸就做个桶子，然后试听，果然有非凡的效果，后来发现了这种听诊器。然后现在很正式的出来这个Stethoscope，就是听诊器。这个告诉我们，我们要了解一个真相需要工具，哪怕这个工具很简单，也需要工具。刚才我给大家讲了，我们需要方法，也需要工具，而不是硬梆梆的手下去。人间的问题不像救大嫂那么简单，需要工具，需要方法。
LAYM016,李敖语妙天下,li_ao_yumiao_tianxia,碧姬芭铎阉邻居公驴,036#P7,036.2009-02-26：才女与美女如何兼备.txt,13-13,483,刚才我谈到法国过气的、老去的电影明星碧碧保护动物，家里面收容了很多动物，包括一头母驴。她的邻居也保护动物，家里面有很多动物，有一头公驴，有一天她邻居有事情外出，就跟她说，请你代我照顾一下我这头公驴，于是她邻居的公驴到她家去，一进来以后就看中了碧碧家里面这头母驴，就要上这头母驴。结果碧碧一怒之下，就把这头公驴用刀给阉掉了，引起她跟邻居的纠纷。为什么要阉掉这个公驴呢？不能找不出理由来。就是她觉得你家的公驴到我家来，想上我家的母驴是不可以的。这个故事使我们感觉到，这些过气的电影明星，当她们老去退休以后，老的不敢照镜子以后，她们还要做一些事情，要保护动物这一类的事情，会做的多么的走火入魔，多么的荒谬。不只是碧姬芭铎，很多人也是，还有个女明星叫米亚法罗也是，忽然主张我们要为了西藏问题反对北京的奥运。请问你反对的理由是什么理由呢？原来你加给中国人民、中国政府的罪状，都是你们美国干过的事情，干的还变本加厉。所以严格说起来这些演艺人员、电影明星，当他们退休以后、老去以后，他们所做的事情是可议的、令我们怀疑的。什么原因？因为他们程度不够，程度不够还要作秀，问题就麻烦了。
LAYM017,李敖语妙天下,li_ao_yumiao_tianxia,小女孩问为何不找高个跳芭蕾,037#P16,037.2009-02-27：人要适格.txt,31-31,198,一个有钱的妈妈第一次带着她的小女儿去看一场芭蕾舞的表演。散场以后，妈妈问女儿，你有什么感想呢？他们跳的好不好？小女孩很天真地说，妈妈她们跳得很好，可是我很奇怪。妈妈问她奇怪什么？小女儿说，为什么不找身高高一点的人来跳呢？他们每个人脚尖都这样踮在一起，芭蕾每个人踮脚尖，为什么不找高一点的人来跳呢？这句话说得好有趣，芭蕾舞要穿芭蕾舞鞋跳这个舞，她觉得身高不够，所以小女孩说为什么不找高一点的人来跳？
LAYM018,李敖语妙天下,li_ao_yumiao_tianxia,撒切尔先安慰闯祸女仆,039#P3,039.2009-03-03：行善之道.txt,5-5,238,就是她请客的时候忽然发生了意外，那个端汤的一个小女孩子不小心汤翻掉了，翻到了内政大臣，就是内政部长的西装上面，把内政部长的西装弄脏了，并且烫伤了。撒切尔夫人，她立刻过来，注意哦，她安慰这个闯了祸的女孩子，而不是安慰内政部长。先安慰闯了祸的女孩子，女首相搂住这个女孩子说，她说啊，这个错误，我们也会发生，所以呢，你不要太难过，因为她知道当时感到最窘的，最难过的是闯了祸的这个女孩子，手足无措，她最需要安慰，所以她过来先安慰这个女孩子，然后才慰问内政大臣，有没有受伤，赶紧换西装。
LAYM019,李敖语妙天下,li_ao_yumiao_tianxia,屠格涅夫握乞丐的手,039#P24,039.2009-03-03：行善之道.txt,47-47,238,俄国的文学家屠格涅夫有一个故事，说冬天的晚上他走到路上去，雪地里面，发现旁边黑黑的有东西在动，他就过去看，一看是什么？一个叫花子，一个乞丐在发抖，乞丐向他要钱，这个作者屠格涅夫就掏钱，要给他钱，身上没有钱。没有钱怎么办呢？他就很不好意思，他就伸手就握这个乞丐的手，跟他握手，他说老兄啊，很抱歉，我身上没有钱，很想给你一点钱，可是我身上没有钱，使你失望。这个乞丐哭起来，乞丐也握他的手说，你给了我钱以外的东西，你给我关心，给我温暖，给我安慰，这也是一种给予，不一定说非给钱不可。
LAYM020,李敖语妙天下,li_ao_yumiao_tianxia,闯红灯只因没看见警察,040#P11,040.2009-03-04：独处之道.txt,21-21,200,他讲了一个笑话，就是闯红灯的笑话，什么闯红灯，一个人开汽车，前面红灯，势若无睹，冲过去了，可是刚刚冲过去了，旁边跳出来一个警察拦他，把他的车拦住了。警察问他，你闯红灯，他承认，我闯红灯，警察说不该闯红灯吗？不该闯，我也承认。不该闯红灯，为什么你要闯红灯？他说，警察问他，你没有看到红灯吗？他说我看到红灯了，可是我没有看到警察。没有看到警察看到红灯，不能够阻止他。红灯，交通号志仅供参考，不能够当真的。
