id,book,book_slug,title,source_ids,source_file,source_lines,char_count,story_text
LABKJ001,李敖报刊集,li_ao_baokanji,约翰逊登门请教李普曼,LABKJ_001_181,001.李敖与“编辑室报告”.txt,361-361,171,十一期的封面人物李普曼，美国总统约翰逊在12月1日，以一国元首之尊，亲自移樽就教，跑到李普曼家里谈了四十多分钟。我们读《孟子》，有这样的话：“故将大有为之君，必有所不召之臣。”再读《后汉书·杨乘传》，也有这样的话：“夫明主之世，必有不召之臣。”我们怎能想到，我们的传统文化、我们的传统理想，被我们干叫了两千多年结果，竟被西洋人表演得惟妙惟肖！
LABKJ002,李敖报刊集,li_ao_baokanji,卢梭路上读征文启事,LABKJ_001_190_195,001.李敖与“编辑室报告”.txt,379-389,515,"两百一十三年前（1749），在法国的一本权威杂志——《法国水星》（Mercure de France）上，出现了一页征文启事。征文的题目是：“科学和艺术的进步究竟败坏道德还是增进道德？”

　　当时正是大热天，在巴黎到望森（Vincennes）的路上，有一个年轻人，正朝望森的一个“别墅”走去。“别墅”中有他一个好朋友，这个朋友就是大名鼎鼎的百科全书的大宗师狄德罗（Diderot），当时因为写《瞎子的书》（Lettre sur les aveugles）冲撞了权贵，正被软禁在“别墅”里。

　　那个没钱坐车的年轻人，走在路上有点累了，他在路边躺下来，随手翻出口袋里的《法国水星》杂志，一眼看到的就是征文启事。

　　这条征文启事突然使他灵光一闪，也使他开始了很多构思。等他一见到那受难的朋友，就兴奋的说出他想要应征的计划。

　　狄德罗极力怂恿他，于是他写出了一篇长文。这篇文章使他得了第一奖、使他声名大噪、使他看到另一个世界，也使他变成一个新人。

　　多年以后，他在《忏悔录》（Les Confessions）里回忆这件事，告诉人们，这次应征对他一生的重大意义。他，就是卢梭（Jean Jacques Rousseau）！"
LABKJ003,李敖报刊集,li_ao_baokanji,耶稣让无罪者先投石,LABKJ_005_44,005.被封杀的《千秋评论》.txt,87-87,101,《圣经》的“约翰福音”第八章，提到祭司与法利赛人命群众以石头打死一名行淫的妇人，耶稣就说：“你们中间谁是没有罪的，谁就可以先拿石头打她。”于是从老到少，张脉偾兴准备“以义杀人”的群众，一个一个都离去了。
LABKJ004,李敖报刊集,li_ao_baokanji,周昌口吃反对废太子,LABKJ_008_4,008.《千秋评论》一百期期期期期期.txt,7-7,336,《史记》记刘邦想废太子，改立戚姬生的如意为太子，周昌反对。周昌口吃，盛怒之下说：“臣口不能言，然臣期期知其不可！陛下虽欲废太子，臣期期不奉诏！”《资治通鉴》录此原文，删掉“虽”字。无知的柏杨翻译成白话，竟翻成：“我口不能言，然而我期期知道不可以，陛下要废太子，我期期不接受命令。”这叫什么翻译！太可笑了！“期”字在这里明明是“极”的意思。《朱子语类》有这样一条：“先生曰：‘期，极也。古人用期字，多做极字。周昌云：心期期知其不可。言极知其不可。口吃，故重一字也。’”这才是正解。周昌的真正意思是“我极……极知道这可不行”、“我实……实在知道这可不行”、“我真……真知道这可不行”，正因为周昌是结巴，所以要重复一个字。《史记》用的是当时活生生的语言，所以就“期期”而写实了。
LABKJ005,李敖报刊集,li_ao_baokanji,竺道生讲经顽石点头,LABKJ_014_5,014.生公说法鬼神听.txt,9-9,110,这诗里所说的“生公”，是中国梁代高僧，名叫“竺道生”，他生于4世纪的355年，死于5世纪的434年，巨鹿人。他曾讲经于苏州虎丘，大家不信他，他就堆起石头，对石头开讲，讲得石头都点头了。世遂有“生公说法，顽石点头”的传说。
